X,Y,OBJECTID,事務所名,路線名,管理番号,照明灯種別,設置位置,緯度,経度,X座標,Y座標
138.2978889,34.82758333,1,島田土木事務所,（国）１５０号,F150-64,高圧ナトリウム灯,焼津市三和松屋人形店横,34.82758333,138.2978889,-18487.13564,-130045.8714
138.2960833,34.8263333300001,2,島田土木事務所,（国）１５０号,F150-65,水銀灯,焼津市三和ｻｯﾎﾟﾛ熊五郎前,34.82633333,138.2960833,-18652.57258,-130184.1954
138.2958056,34.8263333300001,3,島田土木事務所,（国）１５０号,F150-66,水銀灯,焼津市本中根ﾊﾞｽ停前,34.82633333,138.2958056,-18677.98067,-130184.1437
138.2948889,34.8256944400001,4,島田土木事務所,（国）１５０号,F150-67,高圧ナトリウム灯,焼津市本中根ﾊﾞｽ停西100米,34.82569444,138.2948889,-18761.9749,-130254.8425
138.2921389,34.82375,5,島田土木事務所,（国）１５０号,F150-68,高圧ナトリウム灯,焼津市大島914 田中電気前,34.82375,138.2921389,-19013.97083,-130470.0148
138.291,34.8231944400001,6,島田土木事務所,（国）１５０号,F150-69,高圧ナトリウム灯,焼津市大島 田中電気西100m,34.82319444,138.291,-19118.27865,-130531.4247
138.2903056,34.8229722200001,7,島田土木事務所,（国）１５０号,F150-70,水銀灯,焼津市大島 ｻｯﾎﾟﾛ大将向い,34.82297222,138.2903056,-19181.85418,-130555.9422
138.2878889,34.8223055600001,8,島田土木事務所,（国）１５０号,F150-71,高圧ナトリウム灯,焼津市大島交差点 ﾚｽﾄﾗﾝ大川向い,34.82230556,138.2878889,-19403.07639,-130629.4278
138.2863333,34.82202778,9,島田土木事務所,（国）１５０号,F150-72,高圧ナトリウム灯,焼津市大島708 すし富船西側,34.82202778,138.2863333,-19545.43864,-130659.9391
138.28625,34.82205556,10,島田土木事務所,（国）１５０号,F150-73,高圧ナトリウム灯,焼津市大島691 増田むつ宅前,34.82205556,138.28625,-19553.05481,-130656.8413
138.3006667,34.8640555600001,11,島田土木事務所,（国）１５０号,F150B-81,高圧ナトリウム灯,焼津市五ヶ堀之内地内,34.86405556,138.3006667,-18225.00908,-126000.6285
138.1736667,35.16547222,12,島田土木事務所,（県）接岨峡線,G388-6,,川根本町犬間地先,35.16547222,138.1736667,-29727.35793,-92533.9176
138.18175,35.17116667,13,島田土木事務所,（県）接岨峡線,G388-7,,川根本町犬間地先,35.17116667,138.18175,-28988.98278,-91904.59992
138.1687778,35.16675,14,島田土木事務所,（県）接岨峡線,G388-新5,,川根本町犬間,35.16675,138.1687778,-30172.24143,-92390.69756
138.1634722,35.1652777800001,15,島田土木事務所,（県）接岨峡線,G388-新8,,川根本町犬間,35.16527778,138.1634722,-30656.09862,-92552.3935
